Sample 00158: {'mpuData': {'accelX': 37376, 'accelY': 27158, 'accelZ': 14363}, 'adcData': {'adcX': 0, 'adcY': 9993, 'adcZ': 53773}}
Sample 00159: {'mpuData': {'accelX': 35840, 'accelY': 17174, 'accelZ': 7707}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00160: {'mpuData': {'accelX': 45056, 'accelY': 25110, 'accelZ': 1307}, 'adcData': {'adcX': 0, 'adcY': 3584, 'adcZ': 18694}}
Sample 00161: {'mpuData': {'accelX': 42240, 'accelY': 23062, 'accelZ': 12571}, 'adcData': {'adcX': 0, 'adcY': 16386, 'adcZ': 56072}}
Sample 00162: {'mpuData': {'accelX': 40448, 'accelY': 18966, 'accelZ': 64282}, 'adcData': {'adcX': 0, 'adcY': 12553, 'adcZ': 53261}}
Sample 00163: {'mpuData': {'accelX': 36096, 'accelY': 24086, 'accelZ': 4379}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
Sample 00164: {'mpuData': {'accelX': 43264, 'accelY': 19222, 'accelZ': 5147}, 'adcData': {'adcX': 0, 'adcY': 3072, 'adcZ': 18694}}
Sample 00165: {'mpuData': {'accelX': 37376, 'accelY': 15894, 'accelZ': 5915}, 'adcData': {'adcX': 0, 'adcY': 17154, 'adcZ': 57864}}
Sample 00166: {'mpuData': {'accelX': 38144, 'accelY': 19734, 'accelZ': 64538}, 'adcData': {'adcX': 0, 'adcY': 4873, 'adcZ': 51469}}
Sample 00167: {'mpuData': {'accelX': 40192, 'accelY': 18710, 'accelZ': 7195}, 'adcData': {'adcX': 0, 'adcY': 65295, 'adcZ': 65295}}
